harga,jumlah_kamar_tidur,jumlah_kamar_mandi,jumlah_garasi,luas_tanah,luas_bangunan
1790000000,3,3,2,120,110
170000000,3,2,1,102,126
695000000,2,2,1,100,100
560000000,3,1,1,109,67
200000000,2,1,1,60,30
1470000000,5,3,1,125,157
2100000000,11,11,2,206,290
1600000000,5,4,2,300,200
2400000000,3,3,1,403,220
875000000,3,2,1,145,85
570000000,2,1,1,83,50
300000000,2,1,1,60,30
750000000,4,2,1,140,90
1850000000,4,4,2,166,200
745000000,3,1,3,209,180
1700000000,4,3,2,169,125
4200000000,4,3,2,480,300
455000000,2,1,1,61,45
1100000000,4,3,2,171,150
850000000,3,2,1,135,80
3500000000,7,7,2,349,400
1300000000,3,2,1,134,200
4800000000,13,15,4,235,465
1850000000,4,3,2,135,165
5500000000,3,2,0,275,275
4750000000,5,6,2,267,340
2000000000,14,14,2,196,230
1400000000,3,2,2,205,150
765000000,3,2,2,109,80
2200000000,3,3,1,139,125
3100000000,5,3,0,146,290
9900000000,4,4,5,3400,550
7500000000,8,8,5,1000,350
2500000000,6,4,0,128,130
1950000000,3,3,1,128,188
10000000000,5,3,0,848,427
1080000000,3,2,2,147,85
969000000,3,3,2,102,100
25000000000,34,32,10,832,1500
5500000000,5,6,3,295,400
2100000000,3,3,1,139,100
3200000000,5,5,2,204,200
500000000,3,1,0,72,90
1300000000,3,2,2,156,85
900000000,3,2,2,111,70
3400000000,7,4,0,415,300
10000000000,9,5,8,1527,1000
15000000000,6,7,4,636,450
6500000000,11,11,5,500,750
2480000000,4,3,1,192,135
2450000000,4,3,1,187,135
2650000000,4,3,1,213,135
2430000000,4,3,1,192,135
2490000000,4,3,1,200,135
1200000000,3,2,2,100,88
1650000000,3,4,0,912,150
2250000000,10,10,2,100,160
900000000,4,2,0,120,84
2350000000,4,3,0,120,185
1450000000,3,3,1,150,95
450000000,2,1,2,97,45
845000000,2,2,2,60,65
1800000000,3,2,2,134,90
3500000000,4,5,1,288,400
299000000,2,1,1,60,30
1380000000,3,2,1,107,100
1200000000,4,5,1,128,250
750000000,7,2,1,60,120
750000000,2,1,2,166,36
1650000000,3,3,1,200,135
900000000,3,2,0,140,80
499000000,2,1,1,120,36
1600000000,4,3,2,118,140
1450000000,3,2,1,100,85
1500000000,4,3,2,204,100
1850000000,3,2,2,116,115
1600000000,4,4,2,126,130
2500000000,3,3,0,352,168
1670000000,4,2,2,162,120
4900000000,4,4,1,309,100
28000000000,6,3,3,998,1600
2360000000,4,3,1,182,135
2460000000,4,3,1,196,135
2400000000,4,3,1,187,136
1590000000,3,3,1,90,115
576000000,3,2,1,144,80
2540000000,4,3,1,200,135
300000000,1,1,0,52,95
3300000000,40,42,1,110,400
995000000,3,2,1,109,75
410000000,2,1,1,112,60
245000000,2,1,1,75,36
2400000000,4,3,1,403,220
1790000000,4,3,1,113,175
399000000,2,1,0,100,45
550000000,3,2,1,101,55
2400000000,3,2,1,121,140
410000000,2,1,1,80,42
2900000000,3,3,2,140,115
650000000,4,2,1,90,150
775000000,2,1,1,132,90
1000000000,6,6,2,131,115
999000000,3,3,1,103,100
7250000000,5,7,10,2770,700
1200000000,4,2,0,766,400
695000000,2,2,1,100,65
675000000,2,1,1,85,45
4250000000,3,3,6,425,150
725000000,3,2,2,114,71
815000000,2,2,1,75,50
455000000,2,1,1,83,45
1300000000,3,1,2,126,80
690000000,3,2,2,76,60
11000000000,4,3,0,340,280
575000000,3,2,1,98,115
4200000000,4,4,8,564,190
1850000000,3,2,1,126,115
580000000,3,2,0,90,65
3100000000,7,4,2,225,300
750000000,2,1,1,166,36
25000000000,9,9,3,429,1000
799000000,3,2,1,111,60
799000000,3,2,2,75,50
8900000000,7,6,8,1050,735
3990000000,13,11,10,235,475
950000000,4,4,1,90,62
800000000,3,2,1,101,60
4000000000,15,15,4,207,300
1700000000,10,10,3,100,200
392000000,2,1,1,80,36
1450000000,3,3,1,110,129
1300000000,10,6,3,236,180
4200000000,4,4,1,564,150
235000000,2,1,1,73,30
2400000000,10,10,3,175,280
1880000000,3,3,1,121,80
2660000000,3,3,2,153,160
320000000,2,1,1,94,36
1650000000,4,3,2,125,140
1990000000,3,3,1,172,100
1800000000,3,3,2,95,150
550000000,3,1,1,116,60
1700000000,3,4,1,151,120
1100000000,3,2,1,138,100
2200000000,5,4,2,114,150
750000000,3,2,2,130,60
237000000,2,1,1,60,28
1520000000,4,2,1,99,150
350000000,2,1,1,104,50
850000000,3,2,1,114,110
2950000000,4,3,0,213,185
895000000,3,2,2,91,76
1200000000,3,2,1,115,100
1270000000,3,2,1,130,100
817000000,2,2,1,103,76
4500000000,20,15,3,235,370
470000000,3,3,0,147,70
765000000,2,1,1,101,60
675000000,2,1,1,84,50
2200000000,4,4,2,150,235
725000000,3,2,1,100,70
800000000,3,2,1,120,80
884000000,4,2,2,104,60
3400000000,4,3,0,421,200
1250000000,2,2,2,125,150
500000000,2,2,1,80,55
500000000,3,2,1,108,70
3900000000,14,14,3,502,473
690000000,2,1,1,87,45
875000000,3,2,2,112,95
756000000,3,1,2,104,60
4500000000,5,2,7,503,300
1300000000,5,6,1,320,142
850000000,3,2,2,80,85
6500000000,9,6,0,2367,1000
1290000000,4,3,1,99,105
2700000000,3,2,2,267,180
6500000000,5,4,1,778,500
1780000000,4,3,2,118,160
1250000000,3,3,1,105,160
575000000,2,1,1,108,80
8900000000,17,17,7,550,435
775000000,2,2,0,118,100
575000000,3,2,1,101,80
785000000,3,2,1,115,60
2450000000,8,5,2,150,200
6000000000,34,8,0,1145,607
1850000000,4,3,1,147,120
8500000000,17,15,0,389,554
900000000,3,3,1,98,100
3500000000,14,5,0,203,250
2200000000,5,6,3,495,300
2800000000,7,3,2,140,195
4500000000,3,2,0,668,250
2800000000,4,4,2,154,230
1500000000,2,1,1,120,90
275000000,2,1,1,70,36
1700000000,6,5,0,162,170
6000000000,6,6,1,688,384
5200000000,12,12,3,525,500
305000000,2,1,0,66,45
310000000,2,1,0,72,45
315000000,2,1,0,45,75
312000000,2,1,0,45,72
375000000,2,1,1,82,46
2000000000,4,2,2,105,140
645000000,3,1,2,93,60
1280000000,3,3,2,134,85
270000000,2,1,1,61,30
1780000000,3,3,2,119,114
598000000,2,1,1,90,40
645000000,3,1,1,93,60
1820000000,3,2,1,140,158
2900000000,2,3,2,380,200
592000000,2,1,1,91,50
985000000,2,2,1,125,132
890000000,3,2,1,85,70
5000000000,8,7,6,1031,500
4750000000,5,5,0,419,252
1250000000,2,1,1,130,70
790000000,3,2,1,75,70
4200000000,5,4,2,230,208
250000000,2,1,0,76,36
600000000,3,1,1,167,130
6900000000,5,3,3,843,450
3800000000,3,3,1,199,206
407000000,2,1,0,80,45
297000000,2,1,1,75,45
400000000,2,1,1,90,50
1940000000,3,3,0,150,110
580000000,3,2,1,101,70
850000000,3,2,1,102,65
850000000,4,3,0,126,126
350000000,2,1,0,105,70
2120000000,4,4,2,120,150
808000000,3,2,2,85,45
690000000,3,2,2,78,60
1250000000,10,4,1,128,200
870000000,3,2,1,135,80
2600000000,4,3,2,150,190
300000000,2,1,0,74,42
2300000000,8,9,2,98,120
1600000000,4,2,0,125,125
1600000000,4,3,0,193,193
6500000000,5,5,0,455,650
1750000000,4,4,0,187,335
3500000000,4,3,0,728,426
299000000,2,1,1,74,74
3000000000,4,2,0,262,252
385000000,3,2,1,63,80
900000000,3,2,1,133,80
1300000000,3,3,1,135,85
280000000,2,1,1,88,36
1600000000,0,0,0,530,300
250000000,2,1,1,88,36
42000000000,5,4,0,1769,702
1750000000,3,2,1,131,160
4600000000,5,3,3,443,177
900000000,2,2,1,108,60
595000000,3,1,1,93,60
852000000,4,2,1,142,200
700000000,3,2,1,106,70
2300000000,8,8,2,98,120
1290000000,4,3,2,99,105
375000000,2,1,1,72,72
1470000000,4,4,2,178,131
462000000,1,1,0,201,100
1560000000,1,1,0,209,100
550000000,3,2,0,82,100
2500000000,3,2,1,123,150
495000000,3,1,1,141,60
475000000,2,1,0,90,50
5500000000,4,4,2,287,200
700000000,2,2,1,100,90
580000000,3,2,1,100,80
765000000,3,2,1,118,75
1880000000,3,2,2,150,110
500000000,3,1,0,97,55
278000000,2,1,2,72,36
495000000,2,1,1,107,36
900000000,4,2,1,140,140
1950000000,3,2,2,168,130
897000000,3,2,1,107,91
730000000,3,2,2,100,80
513000000,2,1,1,79,76
1980000000,3,3,0,150,110
990000000,3,3,1,103,100
278000000,2,1,2,71,36
600000000,1,1,1,225,225
695000000,0,0,0,94,64
900000000,2,2,1,133,80
850000000,2,2,1,106,62
600000000,3,2,1,123,105
2600000000,5,4,2,150,150
1700000000,4,3,2,110,114
1970000000,4,3,3,135,165
1750000000,8,4,2,176,340
1200000000,7,3,1,157,120
970000000,4,2,1,176,90
8900000000,5,5,4,1280,820
5900000000,4,4,4,1192,620
1600000000,5,5,0,131,200
5000000000,9,6,0,438,180
14000000000,13,13,6,1200,350
675000000,3,2,1,125,65
795000000,3,2,1,98,85
2350000000,10,10,4,103,255
2200000000,4,2,2,250,180
549000000,2,1,1,90,45
585000000,3,2,1,100,58
8000000000,11,6,4,618,388
500000000,2,2,1,120,45
1100000000,4,2,1,115,205
720000000,3,2,1,87,80
2300000000,4,3,2,160,150
399000000,2,2,1,100,50
1350000000,3,2,1,105,120
1500000000,0,0,0,976,250
1300000000,3,2,2,161,120
875000000,3,2,1,85,125
799000000,3,1,1,119,80
2200000000,11,11,0,133,182
1000000000,5,3,2,180,120
950000000,3,1,0,108,100
998000000,3,3,1,103,100
8000000000,7,4,6,1300,1000
1300000000,5,2,2,112,200
1300000000,5,4,2,150,200
302000000,3,2,1,121,60
480000000,3,1,1,98,50
1000000000,7,5,1,110,110
1500000000,3,4,2,151,161
2950000000,15,15,2,200,400
155000000,2,1,1,88,36
2100000000,3,2,1,223,200
591000000,2,1,1,84,40
1350000000,5,3,0,156,156
650000000,5,2,1,161,130
571000000,2,1,1,79,40
1380000000,3,2,1,103,100
325000000,2,1,1,70,36
337000000,2,1,1,74,36
331000000,2,1,1,72,36
2880000000,11,11,1,207,208
725000000,4,2,1,130,100
1350000000,3,2,1,100,103
520000000,2,1,1,90,50
7250000000,23,11,3,500,550
2400000000,4,3,1,187,135
950000000,3,2,1,175,120
1480000000,3,2,1,125,100
2200000000,10,10,2,122,190
1950000000,4,3,1,630,350
2550000000,4,4,0,175,130
7900000000,6,6,0,816,350
700000000,2,2,1,108,100
556000000,2,1,1,84,46
2530000000,4,4,2,175,130
898000000,3,2,1,90,65
8000000000,24,24,4,385,420
850000000,3,1,1,96,70
350000000,2,1,1,115,36
2970000000,5,2,1,143,232
1600000000,12,12,1,425,200
3800000000,5,3,1,472,130
2900000000,0,0,0,365,250
2250000000,4,2,2,138,151
2540000000,4,4,2,175,130
950000000,3,4,1,135,180
2300000000,3,3,2,204,178
525000000,2,1,1,126,36
499000000,2,1,1,141,56
1500000000,4,2,1,218,150
2110000000,3,2,1,110,107
3870000000,3,3,2,204,142
3230000000,3,3,2,153,135
1250000000,2,1,1,135,45
575000000,3,2,1,129,80
900000000,3,2,2,153,100
1900000000,5,4,2,158,120
1600000000,4,4,1,131,200
1900000000,5,6,2,166,150
7500000000,17,17,4,453,411
13000000000,3,1,0,838,400
3000000000,3,3,3,229,180
1100000000,3,2,1,187,150
1700000000,3,2,1,118,70
550000000,6,3,2,94,94
1100000000,2,1,1,110,70
2600000000,4,4,4,1112,400
25000000000,9,9,0,429,1000
1200000000,5,6,1,499,200
1420000000,5,4,1,144,250
575000000,3,2,1,100,80
730000000,3,2,1,100,80
590000000,2,1,1,98,45
3600000000,7,2,5,285,160
1350000000,4,3,1,115,190
725000000,3,2,1,87,70
2150000000,4,3,1,111,180
1800000000,4,4,1,128,200
895000000,3,1,1,157,69
1100000000,3,2,1,213,80
725000000,3,2,1,96,54
2500000000,4,3,1,215,200
1600000000,3,3,1,156,140
650000000,3,2,1,101,80
1600000000,3,3,1,122,200
2110000000,4,3,2,192,135
745000000,2,2,1,98,70
357000000,2,1,1,99,36
2140000000,4,3,2,196,135
1600000000,4,3,1,169,125
1900000000,3,3,0,128,188
756000000,3,1,1,108,60
2200000000,4,2,1,406,340
1800000000,3,3,2,128,110
1850000000,2,2,1,683,500
875000000,8,2,1,100,200
2040000000,4,3,2,182,135
1500000000,4,3,1,156,120
1400000000,3,2,1,174,150
6800000000,21,21,4,250,650
2080000000,4,3,2,186,135
5000000000,5,3,1,219,241
1600000000,4,2,1,127,150
3000000000,6,5,1,225,400
2300000000,4,4,0,140,200
755000000,2,1,1,101,60
2000000000,5,2,3,393,220
1800000000,10,4,4,123,240
2800000000,10,10,2,137,100
950000000,4,4,2,90,62
3100000000,7,4,0,225,300
1450000000,3,2,1,110,140
790000000,3,2,2,78,60
2200000000,6,4,5,976,250
990000000,2,2,1,109,75
950000000,5,5,2,110,170
690000000,3,2,0,77,60
808000000,3,2,2,79,70
800000000,3,2,1,140,80
3100000000,5,3,1,146,290
1700000000,3,2,0,135,95
205000000,1,1,1,60,23
475000000,3,2,1,101,70
500000000,2,1,1,97,55
299000000,2,1,1,88,36
585000000,3,1,1,111,55
1000000000,7,3,1,112,224
590000000,2,1,1,85,55
775000000,3,2,2,113,85
1250000000,7,3,0,329,280
2320000000,4,3,2,213,135
1400000000,3,2,4,205,80
800000000,4,2,1,107,165
950000000,3,2,1,150,90
750000000,3,2,2,81,70
2340000000,4,3,1,184,135
1700000000,3,2,1,118,140
1300000000,6,5,1,489,200
405000000,2,2,1,125,95
950000000,2,2,1,109,75
420000000,3,1,0,123,120
350000000,2,1,1,80,45
250000000,2,1,1,97,36
270000000,1,1,0,71,36
800000000,3,1,1,75,70
240000000,2,1,1,45,62
600000000,3,1,1,100,70
7700000000,4,3,2,289,600
20000000000,47,47,15,2085,2295
2800000000,5,4,1,429,225
790000000,3,2,1,113,70
295000000,2,1,1,125,36
475000000,2,1,1,75,55
780000000,3,2,1,115,60
1950000000,3,2,0,168,110
465000000,2,1,1,132,53
800000000,3,2,1,107,100
4700000000,4,3,1,334,250
750000000,3,2,1,130,60
2000000000,10,10,3,205,200
756000000,2,1,2,95,57
1850000000,3,2,2,116,110
835000000,3,2,1,102,65
961000000,3,3,2,107,80
875000000,3,2,1,107,70
2790000000,3,3,1,123,160
1700000000,4,3,2,200,190
1780000000,3,3,1,160,210
1550000000,3,2,1,126,90
2700000000,3,4,2,110,160
1300000000,3,2,1,135,120
1200000000,3,2,2,124,100
350000000,2,2,1,67,67
850000000,3,1,1,87,70
1900000000,4,3,0,130,130
999000000,3,3,2,103,100
4500000000,5,4,2,365,390
775000000,3,2,2,145,80
550000000,2,1,1,108,50
595000000,2,1,1,82,65
675000000,3,2,1,99,75
640000000,2,1,1,91,50
1100000000,4,2,1,154,160
4500000000,4,4,3,200,170
1470000000,4,3,2,178,131
4750000000,4,4,1,309,190
1950000000,3,2,1,168,130
1290000000,4,2,0,207,160
1490000000,5,4,2,126,170
4900000000,6,4,2,545,340
1100000000,2,2,1,112,85
3500000000,13,13,3,215,260
1000000000,3,2,1,128,90
515000000,2,1,1,95,45
2750000000,4,5,3,150,190
3490000000,5,4,2,426,400
730000000,3,2,0,100,80
850000000,8,6,3,139,125
1750000000,4,2,1,128,97
1300000000,4,3,1,96,180
775000000,2,1,1,136,100
3000000000,11,7,1,242,400
4500000000,2,3,4,348,430
675000000,2,1,1,128,100
1350000000,4,3,1,204,170
1970000000,5,6,3,160,180
850000000,3,3,1,98,99
350000000,3,2,1,54,80
1300000000,5,3,1,125,150
1250000000,3,2,1,105,160
410000000,2,1,1,75,45
665000000,3,2,1,114,90
1200000000,3,3,1,80,100
2200000000,5,3,4,241,350
2100000000,4,3,3,154,95
399000000,2,1,1,83,45
3000000000,5,3,1,466,275
665000000,3,1,2,97,65
615000000,4,2,1,102,60
575000000,3,2,1,104,80
2000000000,11,9,1,221,350
2000000000,3,3,1,125,169
1650000000,1,2,11,351,270
1650000000,4,3,1,125,185
1400000000,3,2,1,133,105
1300000000,3,2,2,174,200
3600000000,5,5,3,416,350
1650000000,2,2,2,135,115
1790000000,4,3,2,119,160
2700000000,8,8,2,97,185
1990000000,0,0,0,194,300
1300000000,3,2,1,131,78
2170000000,4,3,2,200,135
900000000,4,2,4,204,100
1470000000,4,3,1,146,146
685000000,3,2,2,120,77
2300000000,3,3,2,126,130
2750000000,4,4,2,150,190
825000000,3,2,1,102,120
825000000,3,2,1,125,79
1250000000,3,2,1,135,77
1800000000,3,2,1,112,152
950000000,0,0,0,72,80
1100000000,3,2,2,213,80
1700000000,4,5,1,111,180
640000000,2,1,1,95,50
2050000000,4,4,2,160,215
1950000000,3,2,1,170,130
235000000,2,1,1,70,30
1800000000,20,20,2,217,250
525000000,3,1,1,112,75
925000000,2,1,1,101,65
650000000,3,2,1,126,80
1900000000,4,4,1,110,170
10500000000,26,28,1,1000,970
575000000,3,3,1,80,120
975000000,3,2,1,128,100
435000000,2,1,1,101,45
550000000,3,2,1,123,62
4300000000,5,2,5,782,161
475000000,3,1,1,93,60
580000000,2,1,1,66,45
975000000,3,2,1,121,80
765000000,3,2,1,118,80
4500000000,3,3,8,584,150
675000000,2,1,1,121,45
4500000000,6,4,2,334,250
2350000000,3,2,1,213,147
2350000000,4,3,10,184,160
999000000,3,4,1,103,100
2500000000,4,3,4,957,200
1300000000,3,2,1,134,120
1500000000,3,2,1,148,120
1350000000,6,3,0,271,120
1250000000,3,2,1,200,120
1500000000,5,3,1,158,220
1100000000,3,2,1,160,120
592000000,2,1,1,104,50
2650000000,4,3,1,189,210
720000000,2,1,1,126,58
9500000000,4,3,2,1059,120
1900000000,5,5,4,166,150
500000000,2,1,1,88,55
1850000000,3,3,2,102,138
2750000000,2,3,8,579,150
3500000000,6,3,1,341,300
2000000000,3,2,1,167,130
695000000,3,2,1,88,80
5000000000,7,3,7,581,400
725000000,3,2,1,114,71
450000000,2,1,1,75,45
3300000000,5,5,1,254,200
16000000000,5,6,4,735,1000
1500000000,5,3,2,185,220
10000000000,22,22,1,405,900
670000000,3,2,1,136,80
950000000,11,3,1,100,190
980000000,6,6,1,100,150
1950000000,7,5,0,249,250
1950000000,11,11,2,150,160
1400000000,12,12,1,150,380
450000000,2,1,1,82,50
2300000000,11,11,0,562,350
4500000000,13,13,4,251,355
1450000000,6,7,4,150,120
5700000000,7,8,6,482,700
2390000000,3,3,2,110,70
3500000000,10,9,1,195,345
3600000000,12,12,0,119,255
12000000000,36,36,12,644,1330
1720000000,3,2,2,96,75
2500000000,10,10,0,561,461
900000000,16,5,0,170,180
6500000000,18,18,4,210,250
950000000,3,2,0,120,120
2800000000,3,2,1,129,163
1600000000,12,12,0,425,200
8100000000,30,30,5,288,760
1600000000,12,12,4,425,425
1800000000,3,3,2,100,118
850000000,2,1,1,125,52
533000000,2,1,1,127,36
910000000,4,2,0,106,160
2500000000,3,3,0,170,125
2750000000,5,5,0,226,166
2200000000,5,4,0,150,170
3200000000,4,2,0,186,200
3000000000,4,3,0,216,200
2800000000,6,6,0,144,252
2250000000,5,4,0,217,350
2360000000,4,3,2,182,135
2350000000,4,3,2,184,160
475000000,3,1,1,85,47
949000000,4,4,1,90,62
2000000000,6,4,0,363,210
2000000000,3,2,0,210,225
2000000000,4,3,0,134,162
2000000000,4,3,0,158,200
2000000000,6,5,0,288,243
1700000000,3,1,0,223,100
1750000000,4,3,0,163,220
1700000000,4,3,0,110,100
1600000000,3,2,0,104,160
1800000000,3,2,0,164,120
1600000000,3,3,1,146,120
750000000,3,2,1,102,70
999000000,4,4,1,103,100
1300000000,2,1,1,320,142
1480000000,2,1,1,93,50
6850000000,16,16,0,866,900
950000000,3,2,2,115,75
1500000000,3,2,1,112,80
690000000,3,1,1,138,138
1900000000,3,2,2,143,187
2400000000,5,5,2,123,170
255000000,2,1,1,73,36
1700000000,6,3,1,500,400
1100000000,3,3,1,112,103
1950000000,3,3,0,188,128
690000000,3,1,0,138,138
890000000,0,0,0,107,90
610000000,2,1,1,90,55
1950000000,3,2,1,128,188
615000000,3,1,1,167,130
3100000000,13,13,4,223,250
785000000,2,2,1,96,65
400000000,2,1,1,80,45
2800000000,3,3,2,105,138
5000000000,4,4,0,193,300
3200000000,4,3,1,143,180
1100000000,3,2,1,160,150
350000000,2,1,0,75,40
725000000,3,2,1,87,80
750000000,2,1,1,111,76
5300000000,7,4,3,369,262
4500000000,4,2,1,410,350
560000000,2,2,1,104,75
665000000,3,2,1,125,60
7700000000,4,3,0,289,600
680000000,2,1,1,68,48
595000000,3,1,1,90,60
1500000000,3,3,1,150,145
664000000,5,3,1,166,100
1690000000,3,3,2,150,121
750000000,3,1,1,103,61
475000000,2,1,1,104,60
5500000000,10,11,2,586,480
2500000000,4,4,0,339,300
3100000000,3,3,1,120,213
2480000000,4,3,1,196,136
8000000000,7,6,0,400,440
4650000000,5,4,0,180,220
4400000000,7,5,0,525,550
2500000000,6,3,0,393,200
2400000000,3,2,0,238,75
